xval,cpu,mem
394,3.4,76.5
160,3.6,76.6
395,3.2,76.5
161,2.9,76.5
396,2.0,76.5
162,2.1,76.6
397,2.3,76.5
163,2.0,76.5
398,12.3,76.5
164,12.3,76.6
399,9.7,76.6
165,10.0,76.6
400,3.2,76.6
166,4.0,76.6
401,7.6,76.7
167,7.2,76.7
402,5.5,76.8
168,5.5,76.8
403,3.7,76.8
169,2.6,76.8
404,4.2,76.9
170,5.6,76.9
405,3.9,76.7
171,3.1,76.7
406,5.6,76.8
172,9.0,76.6
407,8.6,76.5
173,4.3,76.5
408,1.8,76.6
174,2.0,76.5
409,4.1,76.5
175,5.3,76.5
410,4.0,76.6
176,3.7,76.6
411,5.1,76.5
177,5.3,76.5
412,2.5,76.6
178,1.1,76.5
413,0.5,76.5
179,0.9,76.5
414,1.4,76.6
180,1.8,76.5
415,4.0,76.5
181,4.5,76.5
416,4.1,76.5
182,3.0,76.5
417,3.2,76.5
183,3.8,76.5
418,1.7,76.5
184,0.8,76.5
419,3.0,76.5
185,3.5,76.5
420,2.3,76.6
186,1.8,76.5
421,1.6,76.5
187,2.3,76.4
422,2.0,76.5
188,1.2,76.4
423,1.7,76.5
189,2.9,76.5
424,2.9,76.4
190,2.9,76.4
425,2.9,76.5
191,3.9,76.5
426,3.8,76.5
192,1.8,76.5
427,2.7,76.5
193,4.9,76.4
428,6.1,76.4
194,4.7,76.4
429,2.9,76.4
195,4.6,76.3
430,5.6,76.4
196,3.6,76.4
431,3.5,76.4
197,4.7,76.4
432,3.1,76.4
198,2.3,76.4
433,2.9,76.4
199,4.5,76.4
434,3.7,76.4
200,1.7,76.4
435,4.2,76.4
201,4.3,76.4
436,3.8,76.5
202,3.2,76.5
437,1.7,76.4
203,3.3,76.4
438,4.1,76.5
204,2.8,76.5
439,2.0,76.5
205,2.0,76.4
440,2.0,76.5
206,2.1,76.5
441,1.8,76.4
207,2.6,76.4
442,5.2,76.4
208,4.7,76.4
443,2.7,76.3
209,2.4,76.3
444,2.4,76.4
210,1.8,76.4
445,2.4,76.4
211,3.6,76.4
446,4.0,76.4
212,3.9,76.5
447,3.5,76.5
213,2.5,76.5
448,2.0,76.5
214,3.8,76.5
449,3.4,76.4
